paperid,referenceids,date,title
470208512,"[237717284, 180635998, 368090524]",2013-01-01,Cooperation in health: A cluster analysis of 190 research institutions
232886275,[],2006-09-01,The Knowledge-Based Economy
403746824,"[370648365, 361970539, 55819210, 379868147, 202361495, 348834550, 189412140, 139571425, 290165188, 435813143, 206377463, 79203390, 47345623, 498207735, 400945265, 384532018, 303053531, 253000801, 76180006, 7771595, 27618379, 233986074, 298203351, 230760549, 260077524, 361332972, 41773216, 31454384, 3042491, 351348848, 7053586, 192749378, 183872024, 155732566, 235682975, 140400418, 412126917, 111246974, 148299335, 241232666, 286472542, 122956912, 357883732, 231066845]",2008-08-01,A produtividade dos autores sobre a lei de Lotka
423542792,"[60059777, 28106116, 109474376, 254903201, 11129759, 474170430, 175544753, 286765516, 145073746, 98926797, 50232360, 185124995, 126891197]",2014-10-01,A good normalized impact and concentration measure
86618120,[],2007-09-30,Undécima Conferencia de la ISSI (International Society for Scientometrics and Informetrics)
10268686,"[400346001, 107135827, 59736488, 361385492, 472990783, 52514951, 434390960, 486892439, 242890531, 40761029, 173911376, 296742178, 351000628, 476080958, 202396453, 481187032, 43651942, 301498712, 243953444, 261129073, 183398393, 405903934, 266893669, 57406158, 228381739, 150218292, 243438008, 288404571, 316286418, 214627104, 297664012, 323542114, 57220132, 271328400, 131879523, 256784584, 197142360, 149563928, 183490596, 243606857, 275832052, 234647894, 199142498, 151409842, 155852569, 450394429, 311366139, 275554576, 444079698, 334184616, 499254042, 447153139]",2016-06-27,Report on the 3rd International Workshop on Bibliometric-enhanced Information Retrieval (BIR 2016)
469708818,"[406739540, 375119455, 42213373, 175319874, 75107934, 476438361, 223980646, 484710818, 68435581, 8499638, 2481623, 70766972, 317169946, 499250247, 297408429, 254354432, 2266303, 99138421, 198657662, 495515464, 284668050, 393136048, 43812617, 452227648, 215757897, 464959595, 99586982, 411447089]",2014-06-01,Institution name disambiguation for research assessment
491872276,"[281891464, 314405476, 472796832, 144449435, 454286338, 183893802, 42213373, 267019626, 263820330, 181993247, 438772227, 286226985, 11818658, 187933015, 32054473, 302929392, 356089232, 147218226, 93048438, 474422069, 455216593, 460275406, 416488176, 28256937, 111088482, 92662139, 485244554, 298538986, 493545601, 45003169, 141476080, 379217482, 220577420, 257694692, 142510210, 342241691, 89375504, 93588214]",2004-12-01,Web-crawling reliability
344612888,[],2005-01-01,Research applications in information and library studies seminar (RAILS)
37195807,"[302053577, 251327923, 50077588, 310440548, 332794129, 196859678, 91375062, 47039431, 341214441, 453796948, 460103791, 290750505, 253870772, 251311674, 499233158, 273571058, 46658678, 315021510, 364887194, 199174264, 470727403, 295675001, 107246152, 448749092]",2012-09-14,Research visibility publication patterns and output of academic librarians in sub-Saharan Africa
